@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data
87,0.9,0.00,5,0.00,Frio
81,0.4,0.00,120,0.05,Frio
71,1.3,0.00,324,0.18,Frio
66,2.2,0.00,493,0.30,Normal
57,2.2,0.00,615,0.38,Normal
54,1.3,0.00,684,0.43,Normal
45,1.3,0.00,695,0.46,Normal
36,1.3,0.00,624,0.43,Normal
37,1.3,0.00,491,0.36,Normal
38,1.3,0.00,340,0.25,Normal
42,0.9,0.00,149,0.13,Normal
47,0.9,0.00,12,0.03,Normal
58,0.9,0.00,0,0.05,Frio
57,1.3,0.00,0,0.05,Frio
62,0.9,0.00,0,0.05,Frio
72,0.4,0.00,0,0.03,Frio
72,0.4,0.00,0,0.03,Frio
76,0.0,0.00,0,0.03,Frio
77,0.4,0.00,0,0.03,Frio
74,0.9,0.00,0,0.03,Frio
72,1.8,0.00,0,0.03,Frio
65,1.8,0.00,0,0.05,Frio
53,1.8,0.00,0,0.05,Frio
69,1.8,0.00,0,0.05,Frio
82,1.3,0.00,6,0.03,Frio
80,1.8,0.00,131,0.08,Frio
80,2.2,0.00,335,0.20,Frio
71,3.6,0.00,507,0.30,Normal
63,4.0,0.00,627,0.41,Normal
53,3.1,0.00,692,0.46,Normal
54,2.2,0.00,695,0.46,Normal
47,2.2,0.00,633,0.43,Normal
49,1.8,0.00,517,0.38,Normal
51,2.2,0.00,354,0.28,Normal
55,2.7,0.00,156,0.18,Normal
67,0.9,0.00,13,0.03,Normal
74,0.0,0.00,0,0.03,Normal
80,0.0,0.00,0,0.03,Frio
84,0.0,0.00,0,0.03,Frio
86,0.0,0.00,0,0.03,Frio
92,0.0,0.00,0,0.00,Frio
86,0.9,0.00,0,0.03,Frio
87,0.9,0.00,0,0.03,Frio
90,0.9,0.00,0,0.00,Frio
92,1.3,0.00,0,0.00,Frio
94,1.3,0.00,0,0.00,Frio
95,0.4,0.00,0,0.00,Frio
95,0.9,0.00,0,0.00,Frio
96,0.9,0.00,4,0.00,Frio
92,1.8,0.00,110,0.05,Frio
84,3.6,0.00,325,0.18,Frio
75,3.6,0.00,498,0.30,Frio
66,2.2,0.00,618,0.38,Normal
64,2.2,0.00,684,0.43,Normal
59,2.2,0.00,688,0.46,Normal
56,1.8,0.00,626,0.41,Normal
54,1.8,0.00,519,0.36,Normal
53,0.9,0.00,257,0.18,Normal
57,0.9,0.00,137,0.10,Normal
71,0.9,0.00,14,0.03,Normal
77,0.4,0.00,0,0.03,Normal
80,0.0,0.00,0,0.03,Frio
82,0.0,0.00,0,0.03,Frio
82,0.0,0.00,0,0.03,Frio
